"fecha","ciudad","count","lig","pro","des","desp","durs","durw","sno","ttotal"
"2018-11-05","Europe/Madrid",122,11460,17160,1500,2,360,0,0,28620
"2018-11-07","Europe/Madrid",33,13920,15420,1560,2,300,540,0,29340
"2018-11-09","Europe/Madrid",34,13020,19740,1860,3,600,0,0,32760
"2018-11-17","Europe/Madrid",7,17760,9420,1140,3,180,0,0,27180
"2018-11-18","Europe/Madrid",44,11700,13920,3000,2,1020,420,0,25620
"2018-11-21","Europe/Madrid",124,11400,13320,1680,2,0,180,0,24720
"2018-11-22","Europe/Madrid",42,12720,19560,1860,3,0,0,0,32280
"2018-11-26","Europe/Madrid",134,14820,12180,900,1,300,120,2,27000
"2018-11-27","Europe/Madrid",60,11520,12600,1320,4,120,0,0,24120
"2018-11-28","Europe/Madrid",126,16140,11520,840,0,420,420,0,27660
"2018-12-05","Europe/Madrid",61,16620,15300,2460,3,120,0,0,31920
"2018-12-06","Europe/Madrid",40,18720,13800,1560,3,360,60,0,32520
"2018-12-07","Europe/Madrid",8,10260,23280,3960,5,420,180,1,33540
"2019-02-18","Europe/Madrid",36,12180,15420,1320,1,300,600,0,27600
"2019-02-19","Europe/Rome",16,4920,12060,900,1,180,180,0,16980
"2019-02-21","Europe/Rome",192,8400,13380,2100,1,300,1140,0,21780
"2019-02-22","Europe/Rome",200,13680,10380,1380,2,420,0,2,24060
"2019-02-23","Europe/Rome",260,1800,3420,1080,1,180,300,0,5220
"2019-02-23","Europe/Rome",260,12660,12180,1860,2,240,180,0,24840
"2019-02-25","Europe/Madrid",25,8820,18540,1920,2,360,420,0,27360
"2019-02-26","Europe/Madrid",4,10680,14580,3180,3,180,120,0,25260
"2019-02-27","Europe/Madrid",37,15180,12900,2760,3,300,780,0,28080
"2019-02-28","Europe/Madrid",39,13800,12420,1740,2,300,660,0,26220
"2019-03-01","Europe/Madrid",94,15120,15780,2520,4,0,240,0,30900
"2019-03-02","Europe/Madrid",120,15120,16080,4080,6,0,0,1,31200
"2019-03-04","Europe/Madrid",25,11339,12001,180,0,180,0,0,23340
"2019-03-06","Europe/Madrid",26,10440,11880,4620,5,1200,0,0,22320
"2019-03-08","Europe/Madrid",34,11700,7560,2160,2,420,0,0,19260
"2019-03-08","Europe/Madrid",34,17640,12840,1740,3,360,420,0,30480
"2019-03-12","Europe/Madrid",5,9060,12000,1860,3,180,0,0,21060
"2019-03-13","Europe/Madrid",6,13260,14700,240,0,180,60,0,27960
"2019-03-14","Europe/Madrid",18.9833333333333,17520,13020,2280,3,0,180,0,30540
"2019-03-16","Europe/Madrid",8,13860,15540,1380,2,300,120,0,29400
"2019-03-17","Europe/Madrid",5,13920,16980,1380,1,600,180,0,30900
"2019-03-18","Europe/Madrid",32,8220,17400,300,0,0,300,0,25620
"2019-03-19","Europe/Amsterdam",60,10980,15540,600,1,240,180,2,26520
"2019-03-19","Europe/Madrid",8,10980,15540,600,1,240,180,2,26520
"2019-03-20","Europe/Amsterdam",36,9480,15480,540,1,0,120,0,24960
"2019-03-21","Europe/Amsterdam",71,9960,13620,1380,1,240,120,0,23580
"2019-03-23","Europe/Amsterdam",33,12900,10860,1140,1,240,360,0,23760
"2019-03-23","Europe/Amsterdam",33,14340,18780,1560,2,780,60,0,33120
"2019-03-25","Europe/Madrid",21,11520,18600,1020,3,0,180,0,30120
"2019-03-26","Europe/Madrid",141,8640,20220,840,2,0,120,0,28860
"2019-03-27","Europe/Madrid",28,12780,14640,2460,3,360,240,0,27420
"2019-03-28","Europe/Madrid",5,10621,15359,1380,3,0,0,0,25980
"2019-03-29","Europe/Madrid",68,14100,17940,2580,3,540,60,0,32040
"2019-03-30","Europe/Madrid",158,12840,15840,1680,2,0,0,1,28680
"2019-03-31","Europe/Madrid",70,15000,15600,1500,1,360,360,0,30600
"2019-04-01","Europe/Madrid",38,11460,13320,2460,3,360,0,0,24780
"2019-04-02","Europe/Madrid",57,12900,13740,4440,6,0,120,0,26640
"2019-04-03","Europe/Madrid",28,7380,14760,1860,2,360,120,0,22140
"2019-04-05","Europe/Amsterdam",41,10680,13800,780,0,540,240,0,24480
"2019-04-10","Europe/Madrid",35,16140,12360,1320,3,0,120,0,28500
"2019-04-11","Europe/Madrid",39,12900,15060,1920,2,420,0,0,27960
"2019-04-12","Europe/Madrid",4,7980,17640,1200,1,540,480,0,25620
"2019-04-13","Europe/Madrid",51,14160,18900,960,1,360,120,0,33060
"2019-04-14","Europe/Madrid",6,14760,15240,1260,1,0,720,0,30000
"2019-04-18","Europe/Amsterdam",56,15599,20701,1800,2,540,540,0,36300
"2019-04-19","Europe/Amsterdam",59,8460,18840,1380,1,360,420,0,27300
"2019-04-20","Europe/Amsterdam",38,11220,15420,240,0,240,0,0,26640
"2019-04-22","Europe/Madrid",85,15180,16500,2340,3,480,180,0,31680
"2019-04-23","Europe/Madrid",89.2333333333333,9120,16620,1380,1,0,240,0,25740
"2019-04-24","Europe/Madrid",10.3333333333333,11100,15420,1320,2,180,0,0,26520
"2019-04-25","Europe/Madrid",18,12420,12120,1020,1,0,0,0,24540
"2019-04-26","Europe/Madrid",12,10620,18960,4320,3,360,780,0,29580
"2019-04-27","Europe/Madrid",105.183333333333,7260,20160,1080,1,480,0,0,27420
"2019-05-07","Europe/Amsterdam",28,10319,10440,2461,2,361,0,0,20759
"2019-05-13","Europe/Madrid",4,11100,16500,960,2,300,0,0,27600
"2019-05-14","Europe/Madrid",14,14640,16380,3900,4,480,0,0,31020
"2019-05-15","Europe/Amsterdam",26,11220,14220,3360,4,120,0,0,25440
"2019-05-17","Europe/Madrid",11,11640,15240,840,1,0,180,0,26880
"2019-05-18","Europe/Amsterdam",17,18720,16020,1020,1,0,60,0,34740
"2019-05-19","Europe/Amsterdam",30,9000,14580,2760,3,300,0,0,23580
"2019-05-20","Europe/Amsterdam",19,11100,16860,360,0,0,360,0,27960
"2019-05-21","Europe/Amsterdam",8,11220,9600,420,0,360,60,0,20820
"2019-05-22","Europe/Amsterdam",46,10739,15721,900,0,180,720,0,26460
"2019-05-24","Europe/Amsterdam",14,15480,14760,1980,1,360,840,0,30240
"2019-05-26","Europe/Amsterdam",36,12780,9360,360,0,360,0,0,22140
"2019-06-07","Europe/Madrid",74,13560,14040,1200,2,0,0,0,27600
"2019-06-09","Europe/Madrid",140,9420,11460,1080,2,0,0,0,20880
"2019-06-10","Europe/Madrid",67,14220,12360,1680,3,300,0,0,26580
"2019-06-11","Europe/Madrid",4,12480,18540,2880,1,1620,660,0,31020
"2019-06-12","Europe/Madrid",36,12240,11220,2220,3,360,0,0,23460
"2019-06-17","Europe/Madrid",13,18300,10200,1200,2,360,60,0,28500
"2019-06-18","Europe/Madrid",15,8640,10500,840,0,360,480,0,19140
"2019-06-19","Europe/Madrid",62,11160,11880,3000,4,360,60,0,23040
"2019-06-23","Europe/Madrid",49,11760,9780,1080,3,60,0,0,21540
"2019-06-28","Europe/Madrid",10,6000,4380,0,0,0,0,0,10380
"2019-07-17","Europe/Amsterdam",57,9540,11460,1980,2,360,0,0,21000
"2019-07-18","Europe/Amsterdam",4,10320,13740,2940,5,480,240,0,24060
"2019-07-21","Europe/Amsterdam",17,10679,4080,181,0,61,120,0,14759
"2019-07-21","Europe/Amsterdam",17,12419,13980,4381,5,781,0,0,26399
"2019-07-23","Europe/Amsterdam",18,13800,14220,1080,0,840,240,0,28020
"2019-07-24","Europe/Amsterdam",30,12480,11220,2220,4,360,0,0,23700
"2019-07-26","Europe/Amsterdam",59,14700,14460,1620,3,60,0,0,29160
"2019-08-10","Europe/Madrid",34,9840,15420,2220,2,360,0,0,25260
"2019-08-12","Europe/Madrid",18.1333333333333,15420,11340,960,1,180,0,0,26760
"2019-08-13","Europe/Madrid",13.3166666666667,17640,15360,1200,2,300,240,0,33000
"2019-08-15","Europe/Amsterdam",17,11880,15720,1320,2,0,240,0,27600
"2019-08-19","Europe/Amsterdam",36,15540,10560,960,1,0,0,0,26100
"2019-08-20","Europe/Amsterdam",5,12420,13080,1740,3,300,300,0,25500
"2019-08-21","Europe/Amsterdam",19,9900,9660,120,0,0,120,0,19560
"2019-08-22","Europe/Amsterdam",36,15240,12780,4200,5,0,0,0,28020
"2019-08-23","Europe/Amsterdam",20,9780,12300,1860,2,360,0,0,22080
"2019-08-26","Europe/Amsterdam",48,17220,11460,2760,3,0,180,0,28680
"2019-08-29","Europe/Amsterdam",30,17399,7740,2101,3,360,300,0,25139
"2019-08-30","Europe/Amsterdam",77,13380,10920,1740,3,360,0,0,24300
"2019-09-01","Europe/Amsterdam",9,12660,10020,1020,1,0,540,0,22680
"2019-09-02","Europe/Amsterdam",19,12000,13560,660,0,0,660,0,25560
"2019-09-03","Europe/Amsterdam",20,14520,12000,1320,2,0,360,0,26520
"2019-09-04","Europe/Amsterdam",7,9840,15180,960,1,0,180,0,25020
"2019-09-16","Europe/Madrid",42,10440,8040,1680,2,360,60,0,18480
"2019-09-16","Europe/Madrid",42,15780,13800,3840,5,0,120,0,29580
"2019-09-17","Europe/Madrid",49,13980,15540,420,0,360,60,0,29520
"2019-09-18","Europe/Madrid",44,9901,12479,4080,2,2580,0,0,22380
"2019-09-20","Europe/Amsterdam",117,19260,16500,3900,4,360,300,0,35760
"2019-09-21","Europe/Madrid",31,12300,9420,1440,3,360,0,0,21720
"2019-09-23","Europe/Madrid",12,14640,15600,2160,3,660,0,0,30240
"2019-09-25","Europe/Amsterdam",26,14640,12000,2160,0,1740,420,0,26640
"2019-09-28","Europe/Amsterdam",26,17160,8220,720,1,120,0,0,25380
